segment_id,num_windows_assigned,optimal_windows,cluster_centers
S1,3,"['late_afternoon', 'evening', 'night']","[np.float64(20.0), np.float64(5.0), np.float64(17.0)]"
S2,3,"['evening', 'night', 'mid_morning']","[np.float64(8.7), np.float64(19.0), np.float64(22.0)]"
S3,1,['late_afternoon'],[np.float64(16.0)]
S4,2,"['early_morning', 'evening']","[np.float64(18.0), np.float64(7.0), np.float64(19.0)]"
S5,3,"['early_morning', 'afternoon', 'evening']","[np.float64(7.0), np.float64(20.2), np.float64(13.0)]"
S6,3,"['late_afternoon', 'evening', 'mid_morning']","[np.float64(19.6), np.float64(9.3), np.float64(15.0)]"
S7,2,"['night', 'mid_morning']","[np.float64(20.5), np.float64(9.1)]"
S8,1,['night'],[np.float64(21.0)]
S9,1,['evening'],[np.float64(19.2)]
